"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Shampooers,39-5093,23.8,26.2,2.5,10.3,30.2,4.3,"$18,760",No formal educational credential,None,Short-term on-the-job training
Skincare specialists,39-5094,55.0,61.6,6.6,12.1,30.2,10.9,"$29,050",Postsecondary nondegree award,None,None
"Baggage porters, bellhops, and concierges",39-6000,74.8,81.5,6.8,9.0,Ñ,21.9,"$23,800",Ñ,Ñ,Ñ
Baggage porters and bellhops,39-6011,43.6,47.1,3.5,8.0,Ñ,12.4,"$20,930",High school diploma or equivalent,None,Short-term on-the-job training
Concierges,39-6012,31.2,34.4,3.3,10.4,Ñ,9.6,"$28,170",High school diploma or equivalent,None,Moderate-term on-the-job training
Tour and travel guides,39-7000,47.3,49.5,2.2,4.6,14.0,20.8,"$24,580",Ñ,Ñ,Ñ
Tour guides and escorts,39-7011,43.5,45.7,2.2,5.1,13.9,19.3,"$23,930",High school diploma or equivalent,None,Moderate-term on-the-job training
Travel guides,39-7012,3.9,3.9,0.0,0.0,14.8,1.5,"$35,100",High school diploma or equivalent,None,Moderate-term on-the-job training
Other personal care and service workers,39-9000,"3,884.4","4,494.1",609.7,15.7,12.7,"1,298.7","$21,090",Ñ,Ñ,Ñ
Childcare workers,39-9011,"1,260.6","1,329.9",69.3,5.5,27.1,441.3,"$19,730",High school diploma or equivalent,None,Short-term on-the-job training
Personal care aides,39-9021,"1,768.4","2,226.5",458.1,25.9,3.9,601.1,"$20,440",No formal educational credential,None,Short-term on-the-job training
Recreation and fitness workers,39-9030,658.4,720.8,62.3,9.5,8.4,183.7,"$25,800",Ñ,Ñ,Ñ
Fitness trainers and aerobics instructors,39-9031,279.1,302.5,23.4,8.4,10.6,74.9,"$34,980",High school diploma or equivalent,None,Short-term on-the-job training
Recreation workers,39-9032,379.3,418.3,38.9,10.3,6.7,108.9,"$22,620",High school diploma or equivalent,None,Short-term on-the-job training
Residential advisors,39-9041,103.7,117.9,14.1,13.6,Ñ,45.7,"$24,340",High school diploma or equivalent,None,Short-term on-the-job training
"Personal care and service workers, all other",39-9099,93.2,99.1,5.9,6.3,29.5,26.9,"$21,500",High school diploma or equivalent,None,Short-term on-the-job training
Sales and related occupations,41-0000,"15,423.1","16,201.1",778.0,5.0,7.6,"5,357.8","$25,360",Ñ,Ñ,Ñ
Supervisors of sales workers,41-1000,"1,968.5","2,056.4",87.9,4.5,26.5,481.2,"$40,720",Ñ,Ñ,Ñ
First-line supervisors of retail sales workers,41-1011,"1,537.8","1,605.4",67.6,4.4,22.4,411.3,"$37,860",High school diploma or equivalent,Less than 5 years,None
First-line supervisors of non-retail sales workers,41-1012,430.7,451.0,20.3,4.7,41.2,69.9,"$71,600",High school diploma or equivalent,Less than 5 years,None
Retail sales workers,41-2000,"8,739.3","9,152.1",412.8,4.7,1.9,"3,641.4","$20,100",Ñ,Ñ,Ñ
Cashiers,41-2010,"3,437.5","3,503.0",65.5,1.9,1.0,"1,529.5","$19,070",Ñ,Ñ,Ñ
Cashiers,41-2011,"3,424.2","3,491.1",67.0,2.0,1.0,"1,523.8","$19,060",No formal educational credential,None,Short-term on-the-job training
Gaming change persons and booth cashiers,41-2012,13.3,11.9,-1.4,-10.9,0.9,5.7,"$23,340",High school diploma or equivalent,None,Short-term on-the-job training
Counter and rental clerks and parts salespersons,41-2020,676.9,710.0,33.1,4.9,0.3,194.6,"$25,640",Ñ,Ñ,Ñ
Counter and rental clerks,41-2021,442.1,458.5,16.3,3.7,0.1,125.8,"$23,860",No formal educational credential,None,Short-term on-the-job training
Parts salespersons,41-2022,234.7,251.5,16.8,7.2,0.6,68.9,"$29,440",No formal educational credential,None,Moderate-term on-the-job training
Retail salespersons,41-2031,"4,624.9","4,939.1",314.2,6.8,2.8,"1,917.2","$21,390",No formal educational credential,None,Short-term on-the-job training
"Sales representatives, services",41-3000,"1,903.1","2,036.5",133.4,7.0,6.6,570.9,"$51,410",Ñ,Ñ,Ñ
Advertising sales agents,41-3011,167.9,163.4,-4.5,-2.7,7.9,49.8,"$47,890",High school diploma or equivalent,None,Moderate-term on-the-job training
Insurance sales agents,41-3021,466.1,509.5,43.5,9.3,14.1,165.8,"$47,860",High school diploma or equivalent,None,Moderate-term on-the-job training
"Securities, commodities, and financial services sales agents",41-3031,341.5,374.0,32.5,9.5,7.0,91.4,"$72,070",Bachelor's degree,None,Moderate-term on-the-job training
Travel agents,41-3041,74.1,65.4,-8.7,-11.7,11.7,11.5,"$34,800",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, services, all other",41-3099,853.5,924.1,70.6,8.3,1.7,252.4,"$51,670",High school diploma or equivalent,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing",41-4000,"1,800.9","1,918.2",117.2,6.5,2.5,487.7,"$58,380",Ñ,Ñ,Ñ
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,347.8,371.7,23.8,6.9,2.6,95.4,"$75,140",Bachelor's degree,None,Moderate-term on-the-job training
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,"1,453.1","1,546.5",93.4,6.4,2.5,392.3,"$55,020",High school diploma or equivalent,None,Moderate-term on-the-job training
Other sales and related workers,41-9000,"1,011.2","1,037.9",26.7,2.6,31.5,176.7,"$29,730",Ñ,Ñ,Ñ
"Models, demonstrators, and product promoters",41-9010,98.9,107.1,8.2,8.3,9.1,37.5,"$24,460",Ñ,Ñ,Ñ
Demonstrators and product promoters,41-9011,93.0,101.3,8.2,8.9,9.1,35.8,"$24,520",High school diploma or equivalent,None,Short-term on-the-job training
Models,41-9012,5.8,5.8,0.0,-0.2,7.9,1.7,"$19,970",No formal educational credential,None,None
Real estate brokers and sales agents,41-9020,421.3,432.1,10.9,2.6,52.6,40.3,"$43,430",Ñ,Ñ,Ñ
Real estate brokers,41-9021,83.9,85.4,1.5,1.8,53.1,7.3,"$57,360",High school diploma or equivalent,Less than 5 years,None
Real estate sales agents,41-9022,337.4,346.8,9.4,2.8,52.5,33.0,"$40,990",High school diploma or equivalent,None,Moderate-term on-the-job training
Sales engineers,41-9031,69.9,74.9,4.9,7.0,1.7,23.0,"$96,340",Bachelor's degree,None,Moderate-term on-the-job training
Telemarketers,41-9041,237.9,230.8,-7.2,-3.0,0.6,43.9,"$22,740",No formal educational credential,None,Short-term on-the-job training
Miscellaneous sales and related workers,41-9090,183.2,193.1,9.9,5.4,46.3,31.9,"$29,390",Ñ,Ñ,Ñ
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,80.2,79.1,-1.1,-1.4,90.3,6.6,"$21,530",No formal educational credential,None,Short-term on-the-job training
"Sales and related workers, all other",41-9099,103.0,114.0,11.0,10.7,12.0,25.4,"$30,160",High school diploma or equivalent,None,None
Office and administrative support occupations,43-0000,"22,766.1","23,232.6",466.5,2.0,1.1,"5,657.1","$32,520",Ñ,Ñ,Ñ
Supervisors of office and administrative support workers,43-1000,"1,466.1","1,587.3",121.2,8.3,0.4,342.7,"$50,780",Ñ,Ñ,Ñ
First-line supervisors of office and administrative support workers,43-1011,"1,466.1","1,587.3",121.2,8.3,0.4,342.7,"$50,780",High school diploma or equivalent,Less than 5 years,None
Communications equipment operators,43-2000,128.8,86.4,-42.4,-32.9,2.7,17.3,"$27,150",Ñ,Ñ,Ñ
"Switchboard operators, including answering service",43-2011,112.4,75.4,-37.0,-32.9,Ñ,13.3,"$26,550",High school diploma or equivalent,None,Short-term on-the-job training
Telephone operators,43-2021,13.1,7.5,-5.5,-42.4,20.8,3.2,"$35,140",High school diploma or equivalent,None,Short-term on-the-job training
"Communications equipment operators, all other",43-2099,3.3,3.5,0.2,5.6,23.2,0.8,"$40,080",High school diploma or equivalent,None,Short-term on-the-job training
Financial clerks,43-3000,"3,440.4","3,290.7",-149.7,-4.4,2.9,723.7,"$34,000",Ñ,Ñ,Ñ
Bill and account collectors,43-3011,350.4,330.9,-19.6,-5.6,0.2,85.6,"$33,700",High school diploma or equivalent,None,Moderate-term on-the-job training
Billing and posting clerks,43-3021,514.6,581.1,66.5,12.9,2.1,174.1,"$34,410",High school diploma or equivalent,None,Moderate-term on-the-job training
"Bookkeeping, accounting, and auditing clerks",43-3031,"1,760.3","1,611.5",-148.7,-8.4,5.0,172.6,"$36,430","Some college, no degree",None,Moderate-term on-the-job training
Gaming cage workers,43-3041,11.3,11.9,0.6,5.0,Ñ,2.7,"$25,810",High school diploma or equivalent,None,Short-term on-the-job training
Payroll and timekeeping clerks,43-3051,172.8,166.9,-5.9,-3.4,0.4,46.3,"$39,700",High school diploma or equivalent,None,Moderate-term on-the-job training
Procurement clerks,43-3061,72.3,66.3,-6.0,-8.3,Ñ,25.1,"$39,930",High school diploma or equivalent,None,Moderate-term on-the-job training
Tellers,43-3071,520.5,480.5,-40.0,-7.7,0.0,203.6,"$25,760",High school diploma or equivalent,None,Short-term on-the-job training
"Financial clerks, all other",43-3099,38.1,41.6,3.4,9.0,Ñ,13.7,"$39,220",High school diploma or equivalent,None,Short-term on-the-job training
Information and record clerks,43-4000,"5,634.3","6,033.1",398.8,7.1,0.7,"1,798.6","$30,450",Ñ,Ñ,Ñ
Brokerage clerks,43-4011,57.2,62.4,5.2,9.0,Ñ,19.1,"$47,520",High school diploma or equivalent,None,Moderate-term on-the-job training
Correspondence clerks,43-4021,8.4,7.2,-1.2,-14.7,1.8,2.3,"$35,460",High school diploma or equivalent,None,Short-term on-the-job training
"Court, municipal, and license clerks",43-4031,140.8,147.1,6.3,4.5,3.4,14.8,"$35,460",High school diploma or equivalent,None,Moderate-term on-the-job training
"Credit authorizers, checkers, and clerks",43-4041,46.1,43.3,-2.8,-6.2,Ñ,3.8,"$34,550",High school diploma or equivalent,None,Moderate-term on-the-job training
Customer service representatives,43-4051,"2,581.8","2,834.8",252.9,9.8,0.4,888.7,"$31,200",High school diploma or equivalent,None,Short-term on-the-job training
"Eligibility interviewers, government programs",43-4061,129.9,132.0,2.1,1.6,Ñ,16.3,"$42,200",High school diploma or equivalent,None,Moderate-term on-the-job training
File clerks,43-4071,159.0,150.1,-8.9,-5.6,2.2,32.0,"$27,580",High school diploma or equivalent,None,Short-term on-the-job training
"Hotel, motel, and resort desk clerks",43-4081,243.2,265.1,21.9,9.0,Ñ,147.7,"$20,610",High school diploma or equivalent,None,Short-term on-the-job training
"Interviewers, except eligibility and loan",43-4111,198.0,208.3,10.4,5.2,0.2,55.5,"$30,790",High school diploma or equivalent,None,Short-term on-the-job training
"Library assistants, clerical",43-4121,108.8,114.7,5.9,5.4,Ñ,39.6,"$23,910",High school diploma or equivalent,None,Short-term on-the-job training
Loan interviewers and clerks,43-4131,213.8,232.3,18.5,8.6,0.5,51.3,"$36,880",High school diploma or equivalent,None,Short-term on-the-job training
New accounts clerks,43-4141,52.9,48.6,-4.3,-8.2,Ñ,12.9,"$34,000",High school diploma or equivalent,None,Moderate-term on-the-job training
Order clerks,43-4151,195.9,194.3,-1.5,-0.8,2.0,53.1,"$31,180",High school diploma or equivalent,None,Short-term on-the-job training
"Human resources assistants, except payroll and timekeeping",43-4161,140.6,134.8,-5.8,-4.1,0.2,15.9,"$38,040",Associate's degree,None,None
Receptionists and information clerks,43-4171,"1,028.6","1,126.3",97.8,9.5,0.7,375.0,"$26,760",High school diploma or equivalent,None,Short-term on-the-job training
Reservation and transportation ticket agents and travel clerks,43-4181,140.8,138.8,-2.0,-1.4,1.9,17.7,"$33,510",High school diploma or equivalent,None,Short-term on-the-job training
"Information and record clerks, all other",43-4199,188.5,193.0,4.6,2.4,1.2,53.0,"$37,700",High school diploma or equivalent,None,Short-term on-the-job training
"Material recording, scheduling, dispatching, and distributing workers",43-5000,"3,919.4","3,877.5",-41.9,-1.1,0.9,"1,162.6","$29,210",Ñ,Ñ,Ñ
Cargo and freight agents,43-5011,78.8,84.3,5.5,7.0,0.2,31.3,"$41,380",High school diploma or equivalent,None,Short-term on-the-job training
Couriers and messengers,43-5021,92.9,97.7,4.8,5.2,19.6,16.5,"$26,640",High school diploma or equivalent,None,Short-term on-the-job training
Dispatchers,43-5030,301.5,307.3,5.8,1.9,1.4,84.1,"$36,960",Ñ,Ñ,Ñ
"Police, fire, and ambulance dispatchers",43-5031,102.0,99.0,-3.0,-2.9,Ñ,25.5,"$37,410",High school diploma or equivalent,None,Moderate-term on-the-job training
"Dispatchers, except police, fire, and ambulance",43-5032,199.5,208.2,8.8,4.4,2.2,58.6,"$36,690",High school diploma or equivalent,None,Moderate-term on-the-job training
"Meter readers, utilities",43-5041,37.4,30.6,-6.7,-18.0,Ñ,6.7,"$37,580",High school diploma or equivalent,None,Short-term on-the-job training
Postal service workers,43-5050,484.6,348.6,-136.0,-28.1,Ñ,79.4,"$54,720",Ñ,Ñ,Ñ
Postal service clerks,43-5051,69.6,51.3,-18.3,-26.2,Ñ,8.4,"$55,590",High school diploma or equivalent,None,Short-term on-the-job training
Postal service mail carriers,43-5052,297.4,219.4,-78.1,-26.2,Ñ,57.4,"$57,200",High school diploma or equivalent,None,Short-term on-the-job training
"Postal service mail sorters, processors, and processing machine operators",43-5053,117.6,78.0,-39.7,-33.7,Ñ,13.6,"$54,520",High school diploma or equivalent,None,Short-term on-the-job training
"Production, planning, and expediting clerks",43-5061,304.6,310.9,6.3,2.1,0.9,88.9,"$45,670",High school diploma or equivalent,None,Moderate-term on-the-job training
"Shipping, receiving, and traffic clerks",43-5071,670.2,655.7,-14.5,-2.2,0.6,145.5,"$29,930",High school diploma or equivalent,None,Short-term on-the-job training
Stock clerks and order fillers,43-5081,"1,878.1","1,971.1",92.9,4.9,0.3,689.0,"$22,850",No formal educational credential,None,Short-term on-the-job training
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,71.3,71.2,-0.1,-0.1,0.7,21.1,"$28,570",High school diploma or equivalent,None,Short-term on-the-job training
Secretaries and administrative assistants,43-6000,"3,976.8","4,095.6",118.8,3.0,0.8,591.5,"$35,970",Ñ,Ñ,Ñ
Executive secretaries and executive administrative assistants,43-6011,776.6,732.0,-44.6,-5.7,0.8,81.9,"$51,270",High school diploma or equivalent,Less than 5 years,None
Legal secretaries,43-6012,215.5,206.7,-8.9,-4.1,1.0,22.7,"$42,770",High school diploma or equivalent,None,Moderate-term on-the-job training
Medical secretaries,43-6013,527.6,635.8,108.2,20.5,1.0,163.8,"$32,240",High school diploma or equivalent,None,Moderate-term on-the-job training
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,"2,457.0","2,521.1",64.0,2.6,0.8,323.1,"$33,240",High school diploma or equivalent,None,Short-term on-the-job training
Other office and administrative support workers,43-9000,"4,200.3","4,262.0",61.6,1.5,1.1,"1,020.6","$29,710",Ñ,Ñ,Ñ
Computer operators,43-9011,61.1,49.5,-11.6,-19.0,1.9,4.6,"$39,590",High school diploma or equivalent,None,Moderate-term on-the-job training
Data entry and information processing workers,43-9020,307.5,285.4,-22.1,-7.2,2.7,30.7,"$30,870",Ñ,Ñ,Ñ
Data entry keyers,43-9021,216.8,208.9,-7.9,-3.7,1.1,27.6,"$28,870",High school diploma or equivalent,None,Moderate-term on-the-job training
Word processors and typists,43-9022,90.7,76.5,-14.2,-15.7,6.5,3.1,"$36,700",High school diploma or equivalent,None,Short-term on-the-job training
Desktop publishers,43-9031,14.8,11.7,-3.1,-21.0,7.8,4.0,"$38,200",Associate's degree,None,Short-term on-the-job training
Insurance claims and policy processing clerks,43-9041,285.4,303.1,17.7,6.2,0.4,89.2,"$36,740",High school diploma or equivalent,None,Moderate-term on-the-job training
"Mail clerks and mail machine operators, except postal service",43-9051,104.9,85.1,-19.8,-18.8,1.0,21.4,"$27,890",High school diploma or equivalent,None,Short-term on-the-job training
"Office clerks, general",43-9061,"3,062.5","3,158.2",95.8,3.1,0.5,756.2,"$28,670",High school diploma or equivalent,None,Short-term on-the-job training
"Office machine operators, except computer",43-9071,69.6,58.0,-11.5,-16.6,1.0,15.8,"$28,510",High school diploma or equivalent,None,Short-term on-the-job training
Proofreaders and copy markers,43-9081,13.6,13.3,-0.3,-2.4,19.8,2.6,"$34,980",Bachelor's degree,None,None
Statistical assistants,43-9111,16.6,14.8,-1.8,-10.9,7.6,6.7,"$42,070",Bachelor's degree,None,None
"Office and administrative support workers, all other",43-9199,264.5,282.9,18.4,7.0,4.1,89.5,"$32,460",High school diploma or equivalent,None,Short-term on-the-job training
"Farming, fishing, and forestry occupations",45-0000,972.1,914.9,-57.2,-5.9,4.6,253.1,"$20,250",Ñ,Ñ,Ñ
"Supervisors of farming, fishing, and forestry workers",45-1000,47.1,43.3,-3.9,-8.2,20.1,11.5,"$44,880",Ñ,Ñ,Ñ
"First-line supervisors of farming, fishing, and forestry workers",45-1011,47.1,43.3,-3.9,-8.2,20.1,11.5,"$44,880",High school diploma or equivalent,Less than 5 years,None
Agricultural workers,45-2000,828.9,777.1,-51.7,-6.2,0.7,218.0,"$19,480",Ñ,Ñ,Ñ
Agricultural inspectors,45-2011,14.2,14.1,-0.1,-0.6,1.4,3.6,"$43,090",Bachelor's degree,None,Moderate-term on-the-job training
Animal breeders,45-2021,7.0,6.9,-0.1,-1.6,Ñ,1.9,"$40,000",High school diploma or equivalent,None,Short-term on-the-job training
"Graders and sorters, agricultural products",45-2041,53.0,48.9,-4.1,-7.8,Ñ,8.5,"$19,910",No formal educational credential,None,Short-term on-the-job training
Miscellaneous agricultural workers,45-2090,754.7,707.3,-47.4,-6.3,0.7,204.1,"$19,330",Ñ,Ñ,Ñ
Agricultural equipment operators,45-2091,57.8,60.9,3.1,5.4,0.7,18.5,"$26,910",No formal educational credential,None,Short-term on-the-job training
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,470.2,427.3,-42.9,-9.1,0.9,125.2,"$19,060",No formal educational credential,None,Short-term on-the-job training
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,216.1,209.1,-7.0,-3.2,0.2,57.5,"$22,930",No formal educational credential,None,Short-term on-the-job training
"Agricultural workers, all other",45-2099,10.6,10.0,-0.6,-5.7,0.6,2.8,"$27,380",No formal educational credential,None,Short-term on-the-job training
Fishing and hunting workers,45-3000,28.4,28.2,-0.2,-0.7,57.7,7.0,"$32,530",Ñ,Ñ,Ñ
"Forest, conservation, and logging workers",45-4000,67.7,66.3,-1.4,-2.0,20.3,16.6,"$34,200",Ñ,Ñ,Ñ
Forest and conservation workers,45-4011,14.0,14.6,0.6,4.2,10.0,3.9,"$27,160",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging workers,45-4020,53.7,51.7,-2.0,-3.6,23.0,12.7,"$35,160",Ñ,Ñ,Ñ
Fallers,45-4021,8.2,6.8,-1.4,-17.2,24.2,2.0,"$34,490",High school diploma or equivalent,None,Moderate-term on-the-job training
Logging equipment operators,45-4022,37.3,37.1,-0.1,-0.3,22.9,8.8,"$35,190",High school diploma or equivalent,None,Moderate-term on-the-job training
Log graders and scalers,45-4023,3.7,3.7,-0.1,-2.0,24.3,0.9,"$35,430",High school diploma or equivalent,None,Moderate-term on-the-job training
"Logging workers, all other",45-4029,4.5,4.1,-0.3,-7.5,20.1,1.1,"$35,460",High school diploma or equivalent,None,Moderate-term on-the-job training
Construction and extraction occupations,47-0000,"6,501.7","7,160.7",659.0,10.1,17.4,"1,682.2","$41,380",Ñ,Ñ,Ñ
Supervisors of construction and extraction workers,47-1000,578.4,636.1,57.7,10.0,12.7,103.6,"$60,990",Ñ,Ñ,Ñ
First-line supervisors of construction trades and extraction workers,47-1011,578.4,636.1,57.7,10.0,12.7,103.6,"$60,990",High school diploma or equivalent,5 years or more,None
Construction trades workers,47-2000,"4,995.7","5,509.7",514.0,10.3,20.6,"1,290.4","$40,150",Ñ,Ñ,Ñ
Boilermakers,47-2011,17.4,19.0,1.5,8.7,Ñ,4.2,"$59,860",High school diploma or equivalent,None,Apprenticeship
"Brickmasons, blockmasons, and stonemasons",47-2020,93.1,109.7,16.6,17.9,24.7,24.4,"$46,060",Ñ,Ñ,Ñ
Brickmasons and blockmasons,47-2021,78.1,92.6,14.5,18.6,24.7,21.0,"$47,650",High school diploma or equivalent,None,Apprenticeship
Stonemasons,47-2022,14.9,17.1,2.1,14.3,24.9,3.4,"$37,880",High school diploma or equivalent,None,Apprenticeship
Carpenters,47-2031,945.4,"1,005.8",60.4,6.4,33.6,169.1,"$40,820",High school diploma or equivalent,None,Apprenticeship
"Carpet, floor, and tile installers and finishers",47-2040,125.4,131.3,5.9,4.7,42.0,23.7,"$37,380",Ñ,Ñ,Ñ
Carpet installers,47-2041,45.3,45.1,-0.2,-0.5,42.1,6.3,"$35,880",No formal educational credential,None,Short-term on-the-job training
"Floor layers, except carpet, wood, and hard tiles",47-2042,17.1,19.2,2.1,12.2,41.9,4.5,"$36,670",No formal educational credential,None,Moderate-term on-the-job training
Floor sanders and finishers,47-2043,7.9,8.4,0.5,6.2,41.9,1.6,"$35,770",No formal educational credential,None,Moderate-term on-the-job training
Tile and marble setters,47-2044,55.1,58.7,3.5,6.4,41.9,11.3,"$38,980",No formal educational credential,None,Long-term on-the-job training
"Cement masons, concrete finishers, and terrazzo workers",47-2050,158.5,179.1,20.6,13.0,2.2,39.9,"$36,800",Ñ,Ñ,Ñ
Cement masons and concrete finishers,47-2051,155.2,175.5,20.3,13.1,2.2,39.2,"$36,760",No formal educational credential,None,Moderate-term on-the-job training
Terrazzo workers and finishers,47-2053,3.4,3.6,0.2,7.3,2.2,0.7,"$39,090",High school diploma or equivalent,None,Apprenticeship
Construction laborers,47-2061,"1,159.1","1,306.5",147.4,12.7,25.7,378.6,"$31,090",No formal educational credential,None,Short-term on-the-job training
Construction equipment operators,47-2070,424.8,467.9,43.2,10.2,3.8,118.2,"$42,900",Ñ,Ñ,Ñ
"Paving, surfacing, and tamping equipment operators",47-2071,57.7,63.0,5.3,9.2,4.8,19.1,"$38,660",High school diploma or equivalent,None,Moderate-term on-the-job training
Pile-driver operators,47-2072,3.7,4.3,0.6,16.6,4.4,1.2,"$51,510",High school diploma or equivalent,None,Moderate-term on-the-job training
Operating engineers and other construction equipment operators,47-2073,363.4,400.6,37.2,10.2,3.7,97.8,"$43,510",High school diploma or equivalent,None,Moderate-term on-the-job training
"Drywall installers, ceiling tile installers, and tapers",47-2080,127.0,133.6,6.6,5.2,18.6,14.4,"$38,970",Ñ,Ñ,Ñ
Drywall and ceiling tile installers,47-2081,106.0,111.5,5.5,5.2,18.6,12.0,"$38,100",No formal educational credential,None,Moderate-term on-the-job training
Tapers,47-2082,21.0,22.1,1.1,5.2,18.6,2.4,"$46,630",No formal educational credential,None,Moderate-term on-the-job training
Electricians,47-2111,628.8,714.7,85.9,13.7,8.9,181.8,"$51,110",High school diploma or equivalent,None,Apprenticeship
Glaziers,47-2121,45.3,47.2,1.9,4.1,3.9,8.4,"$38,410",High school diploma or equivalent,None,Apprenticeship
Insulation workers,47-2130,55.6,63.0,7.4,13.3,4.0,26.2,"$37,790",Ñ,Ñ,Ñ
"Insulation workers, floor, ceiling, and wall",47-2131,25.6,27.1,1.5,6.1,4.0,10.2,"$33,720",No formal educational credential,None,Short-term on-the-job training
"Insulation workers, mechanical",47-2132,30.1,35.9,5.8,19.4,4.0,16.0,"$42,990",High school diploma or equivalent,None,Apprenticeship
Painters and paperhangers,47-2140,367.0,393.7,26.7,7.3,41.3,85.1,"$35,910",Ñ,Ñ,Ñ
"Painters, construction and maintenance",47-2141,360.5,387.1,26.5,7.4,41.3,83.9,"$35,950",No formal educational credential,None,Moderate-term on-the-job training
Paperhangers,47-2142,6.4,6.6,0.2,2.4,43.3,1.2,"$32,930",No formal educational credential,None,Long-term on-the-job training
"Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,470.8,525.1,54.3,11.5,10.2,116.5,"$49,110",Ñ,Ñ,Ñ
Pipelayers,47-2151,45.7,51.0,5.2,11.4,8.2,11.3,"$37,000",No formal educational credential,None,Short-term on-the-job training
"Plumbers, pipefitters, and steamfitters",47-2152,425.0,474.1,49.1,11.5,10.5,105.2,"$50,660",High school diploma or equivalent,None,Apprenticeship
Plasterers and stucco masons,47-2161,27.0,28.9,1.9,7.1,21.6,3.1,"$37,550",No formal educational credential,None,Long-term on-the-job training
Reinforcing iron and rebar workers,47-2171,18.7,23.1,4.4,23.4,Ñ,7.2,"$50,020",High school diploma or equivalent,None,Apprenticeship
Roofers,47-2181,123.4,139.3,15.8,12.8,18.6,34.7,"$35,760",No formal educational credential,None,Moderate-term on-the-job training
Sheet metal workers,47-2211,141.0,150.5,9.4,6.7,4.6,39.8,"$45,070",High school diploma or equivalent,None,Apprenticeship
Structural iron and steel workers,47-2221,61.4,64.2,2.7,4.5,1.0,13.0,"$48,200",High school diploma or equivalent,None,Apprenticeship
Solar photovoltaic installers,47-2231,5.9,7.4,1.4,24.3,12.1,2.3,"$40,020",High school diploma or equivalent,None,Moderate-term on-the-job training
"Helpers, construction trades",47-3000,227.3,260.0,32.7,14.4,0.4,61.3,"$27,540",Ñ,Ñ,Ñ
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,23.5,28.8,5.3,22.4,0.4,8.2,"$28,830",No formal educational credential,None,Short-term on-the-job training
Helpers--carpenters,47-3012,39.7,42.7,3.0,7.5,0.4,8.0,"$26,600",No formal educational credential,None,Short-term on-the-job training
Helpers--electricians,47-3013,69.0,81.5,12.5,18.0,0.4,21.1,"$27,940",High school diploma or equivalent,None,Short-term on-the-job training
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,11.9,13.1,1.2,10.5,Ñ,2.7,"$25,910",No formal educational credential,None,Short-term on-the-job training
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,52.4,59.4,7.0,13.4,0.4,13.6,"$27,710",High school diploma or equivalent,None,Short-term on-the-job training
Helpers--roofers,47-3016,11.3,13.0,1.7,15.3,Ñ,3.1,"$26,060",No formal educational credential,None,Short-term on-the-job training
"Helpers, construction trades, all other",47-3019,19.5,21.5,2.0,10.2,0.4,4.4,"$28,010",No formal educational credential,None,Short-term on-the-job training
Other construction and related workers,47-4000,418.2,449.5,31.3,7.5,5.0,133.0,"$41,160",Ñ,Ñ,Ñ
Construction and building inspectors,47-4011,101.2,109.2,8.1,8.0,9.2,36.3,"$56,040",High school diploma or equivalent,5 years or more,Moderate-term on-the-job training
Elevator installers and repairers,47-4021,20.7,23.4,2.7,13.0,Ñ,5.9,"$78,620",High school diploma or equivalent,None,Apprenticeship
Fence erectors,47-4031,24.4,26.4,2.0,8.0,14.7,6.7,"$31,510",No formal educational credential,None,Moderate-term on-the-job training
Hazardous materials removal workers,47-4041,43.7,47.0,3.3,7.4,3.2,13.0,"$38,520",High school diploma or equivalent,None,Moderate-term on-the-job training
Highway maintenance workers,47-4051,151.3,158.6,7.3,4.8,1.9,47.6,"$36,580",High school diploma or equivalent,None,Moderate-term on-the-job training
Rail-track laying and maintenance equipment operators,47-4061,15.6,17.0,1.5,9.3,Ñ,5.3,"$51,840",High school diploma or equivalent,None,Moderate-term on-the-job training
Septic tank servicers and sewer pipe cleaners,47-4071,24.7,28.7,4.0,16.3,Ñ,10.1,"$34,810",No formal educational credential,None,Moderate-term on-the-job training
Miscellaneous construction and related workers,47-4090,36.6,39.2,2.6,7.0,10.0,8.1,"$35,260",Ñ,Ñ,Ñ
Segmental pavers,47-4091,1.3,1.4,0.1,9.3,12.5,0.3,"$32,180",High school diploma or equivalent,None,Moderate-term on-the-job training
