"Table 1.7 Occupational employment and job openings data, projected 2014-24, and worker characteristics, 2014(Numbers in thousands)",,,,,,,,,,,
2014 National Employment Matrix title and code,,Employment,,"Employment change, 2014-24",,"Percent self employed, 2014","Job openings due to growth and replacement needs, 2014-24","Median annual wage, 2014 (1)",Typical education needed for entry  ,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation
Veterinary technologists and technicians,29-2056,95.6,113.6,17.9,18.7,0.4,27.4,"$31,070",Associate's degree,None,None
Ophthalmic medical technicians,29-2057,37.0,46.1,9.1,24.7,0.4,12.8,"$35,230",Postsecondary nondegree award,None,None
Licensed practical and licensed vocational nurses,29-2061,719.9,837.2,117.3,16.3,1.0,322.2,"$42,490",Postsecondary nondegree award,None,None
Medical records and health information technicians,29-2071,188.6,217.6,29.0,15.4,0.3,71.2,"$35,900",Postsecondary nondegree award,None,None
"Opticians, dispensing",29-2081,75.2,93.0,17.8,23.7,2.6,37.9,"$34,280",High school diploma or equivalent,None,Long-term on-the-job training
Miscellaneous health technologists and technicians,29-2090,116.4,143.5,27.1,23.3,4.3,38.6,"$42,700",Ñ,Ñ,Ñ
Orthotists and prosthetists,29-2091,8.3,10.1,1.9,22.6,4.4,2.7,"$64,040",Master's degree,None,Internship/residency
Hearing aid specialists,29-2092,5.9,7.5,1.6,27.2,4.9,2.2,"$43,010",High school diploma or equivalent,None,None
"Health technologists and technicians, all other",29-2099,102.2,125.9,23.6,23.1,4.3,33.8,"$41,420",High school diploma or equivalent,None,None
Other healthcare practitioners and technical occupations,29-9000,157.4,173.8,16.3,10.4,4.3,47.8,"$57,210",Ñ,Ñ,Ñ
Occupational health and safety specialists and technicians,29-9010,85.5,89.6,4.2,4.9,4.1,21.3,"$65,360",Ñ,Ñ,Ñ
Occupational health and safety specialists,29-9011,70.3,73.1,2.8,4.0,4.0,16.9,"$69,210",Bachelor's degree,None,None
Occupational health and safety technicians,29-9012,15.1,16.5,1.4,9.1,4.5,4.4,"$48,120",High school diploma or equivalent,None,Moderate-term on-the-job training
Miscellaneous health practitioners and technical workers,29-9090,72.0,84.1,12.1,16.9,4.6,26.5,"$46,860",Ñ,Ñ,Ñ
Athletic trainers,29-9091,25.4,30.8,5.4,21.1,4.5,10.4,"$43,370",Bachelor's degree,None,None
Genetic counselors,29-9092,2.4,3.1,0.7,28.8,5.3,1.2,"$67,500",Master's degree,None,None
